CREL,Trend
-0.348257422,3
-0.423287782,5
0.635308886,3
0.539492593,1
0.2037847,1
0.646487423,3
0.697404617,5
0.794570492,3
0.546038298,-1
0.712496594,3
0.555804667,3
0.783480869,-7
-0.606527949,5
-0.585938383,5
-0.742886932,5
-0.546731357,3
-0.489888677,3
-0.280364544,-1
-0.738718958,5
-0.557260744,5
-0.643157385,3
-0.492253708,3
-0.710028664,5
-0.41789484,3
-0.507816902,3
0.512267262,-1
-0.414329444,3
-0.650179642,3
-0.38265123,3
-0.235722004,3
0.489885942,-3
-0.516369642,3
-0.501223325,3
0.605991644,3
0.603559511,-1
0.852469896,3
0.769564534,3
0.74228673,3
-0.152041054,7
0.663489117,5
0.626906256,3
0.675473203,3
0.677963262,1
0.614152724,3
-0.859316275,9
-0.88371926,9
0.780347457,3
0.746430716,3
-0.345420284,3
0.042199702,-7
0.201192837,-11
-0.321688889,3
-0.011098487,-9
0.494501888,-1
0.771637134,-3
0.683478161,3
-0.356559721,3
-0.412655019,3
-0.348322091,1
0.201307079,1
0.480454184,1
0.647586495,5
0.621587028,5
0.561638666,5
0.60483194,5
0.65520871,5
0.638436571,5
-0.608204342,5
-0.355181872,3
-0.705095832,5
-0.238934113,5
-0.193158191,5
-0.515165518,5
0.544645813,5
-0.240951018,-1
-0.576528519,5
0.449222899,-3
0.685775567,-1
0.392265207,-1
-0.300645056,-1
0.781366331,3
0.173342291,-1
0.594314121,-1
0.733615595,-1
0.373761838,-1
0.625378785,-1
0.395523493,-1
0.058379557,-1
0.085446685,-1
-0.216982042,-1
0.67710738,-1
0.578604003,-1
-0.196561404,-1
-0.174349897,-1
0.547292285,-1
0.090862642,-1
0.639258933,-1
0.098404779,-1
0.34575952,-1
0.646937282,-1
0.501922369,-1
0.327199007,-1
0.084846947,-1
0.267166083,-1
0.583628889,-1
0.131390869,-1
0.571357635,-1
-0.121190396,-1
0.474538549,-1
0.433132108,-1
0.376816774,-1
0.544934136,-1
0.360161469,-5
0.64237992,-1
0.503836127,-1
0.67574164,-1
0.321982788,1
-0.342420687,1
-0.14661397,-1
-0.297072104,1
0.464030801,1
0.345994328,1
-0.059236295,1
0.255205207,1
0.449983191,1
0.562842664,1
0.54738165,1
0.655393734,1
0.605414234,1
0.409911531,1
0.449497442,1
0.59743752,-1
0.561525988,-1
0.33784165,5
0.770808212,3
0.014200703,1
0.122955462,1
0.659489611,1
0.274125323,1
0.612946801,-1
0.493228696,1
0.598161536,1
0.308147751,1
0.548450217,-1
0.494797002,-1
-0.203068728,-1
0.506858706,-3
0.518169112,-1
0.031674006,-1
-0.419407675,1
0.568009733,-3
-0.051702592,-3
0.569076663,-1
-0.25153817,-13
0.049262213,-1
0.647280644,-3
0.430656885,-11
0.577051306,-1
0.921756309,7
0.23943524,-1
-0.65286221,7
-0.430384148,7
-0.734140797,5
0.802033367,3
0.342780603,1
0.255274807,1
0.101116516,1
0.246833103,-1
0.312445614,1
0.464882129,1
-0.261894778,3
0.335130717,1
0.909838664,9
-0.254577487,3
0.183510897,1
0.615022584,1
0.631142487,1
0.218788457,1
0.249483705,-1
0.848441807,3
0.601315308,1
0.395255344,-1
0.828757201,-7
0.191331035,1
0.395447873,-1
0.348152275,-3
0.62772224,1
-0.129491828,1
0.896535545,9
0.385955505,-1
0.611694627,1
-0.153131619,1
0.603598368,1
-0.159678849,3
-0.786250322,5
0.820223068,-5
0.292345149,-1
-0.775584167,5
-0.387971935,7
-0.427752477,7
-0.633630793,7
-0.364666231,7
-0.69488194,7
-0.401908886,7
-0.416224617,7
0.266045724,-3
-0.65585534,7
0.485284297,1
-0.612455557,7
-0.479628091,7
-0.760639968,5
0.448806034,-1
-0.760043758,5
0.669348043,1
0.26929135,3
-0.42799988,7
-0.425707659,7
-0.447941565,7
-0.388588044,7
-0.360545552,7
0.504006111,3
0.5855104,3
0.726638693,3
0.907953863,-7
0.709488342,5
0.220564565,5
0.600286394,3
0.511544053,3
0.406158393,-3
0.705610751,1
0.140287518,3
0.735332265,5
0.533189884,5
0.579226071,5
0.706395746,5
0.839481149,-3
0.563712715,5
0.510345727,-3
0.710247316,-1
0.021716516,-11
0.440428745,5
-0.025248713,-9
0.739924195,1
0.38601432,3
0.581859495,3
0.591511492,-5
0.669888944,1
0.722552218,3
0.727736345,3
0.461700818,3
-0.524550692,3
-0.225710935,-1
0.7460692,3
-0.389791747,1
0.2833047,-3
0.020659784,1
0.163513841,3
0.747066552,-7
-0.568562498,3
0.778690397,-5
0.491902284,3
0.178363491,1
0.194860719,1
0.709727816,7
0.534479723,-5
0.336386395,-5
0.482519823,-3
0.688502697,-3
0.284974791,-1
0.061236954,1
0.866951753,-7
0.061603487,-3
0.504194953,-3
0.533523293,-5
0.552450196,3
0.10519626,-3
0.150201736,-1
0.561895564,-3
0.611529486,-3
0.62958254,-5
0.101090618,-1
0.495686413,-5
0.517767867,-5
0.525446252,-3
0.072810051,5
0.560970572,-3
0.550052453,-5
0.568431949,-5
0.476733904,-1
0.669644963,-5
0.575981536,-5
0.324215155,-1
0.724024115,-5
0.587637134,-5
0.635228516,-5
0.54428691,-5
0.536379479,-5
0.90807657,9
0.54625358,-5
0.657055337,-5
0.592848605,-5
0.583523374,-5
0.471382176,-1
0.652082258,5
-0.0170078,-3
0.497247276,-3
0.47531632,-3
0.588751357,-5
0.630157473,-5
0.461846967,-3
-0.672343921,-5
0.697595823,7
0.556105572,-3
0.872689551,5
0.501393938,-5
0.610899936,-3
0.513358117,-3
0.501078816,-5
0.51431622,-5
0.721400321,-5
0.487732246,1
0.400698046,3
-0.359255992,11
0.806801136,5
0.73562838,-1
0.686829411,5
0.901456024,5
0.749083566,5
0.866724073,7
0.850525974,5
0.790516812,-3
0.82369689,7
0.831743474,7
0.766406514,5
0.779737311,5
0.700550108,-3
0.851259717,5
0.736673139,5
0.827587811,5
0.832448914,5
0.855124016,-7
0.574704894,5
0.720151559,5
0.172767325,-1
0.471073196,1
0.604228715,3
0.59306333,3
-0.384935755,1
0.623102756,3
0.706468007,-1
0.925306164,-9
-0.268911122,-1
0.53420417,1
0.654021814,3
0.537733625,3
0.609786003,3
0.588359534,3
0.196928634,1
0.661574015,3
0.551431852,3
0.861244013,-5
0.623832004,3
0.65820034,3
0.556059137,-5
0.566559508,1
0.638574874,3
0.765537336,3
-0.308684276,3
0.640791341,1
0.576102004,3
0.694633686,1
0.40888888,-3
0.838093738,5
0.850626445,3
0.88930975,-5
0.916161463,-7
0.941636944,5
0.646540684,3
0.514403677,5
0.815104863,3
0.535872847,3
0.879100999,3
0.726035731,3
0.744292005,5
0.476506565,5
0.684752957,3
0.854391708,5
0.909109172,-7
0.667954417,5
0.802840822,3
-0.46551412,5
-0.44781606,5
0.731926491,1
-0.795109162,11
0.833661306,5
-0.785458802,11
0.777253381,5
0.885851345,7
0.904667404,-3
-0.259995621,7
-0.814288479,11
-0.489462109,7
-0.386239828,7
-0.617849671,7
0.946167871,-11
0.363299917,1
-0.232519327,7
-0.340369227,7
-0.644321283,11
0.5972292,-5
-0.730861734,11
-0.499653905,5
-0.439771936,7
-0.377334442,5
0.907396262,5
0.573934286,3
-0.135243246,7
-0.190361256,5
-0.11487725,5
0.680269084,-5
0.826335319,3
-0.256701424,5
0.604309098,-1
0.720247806,3
0.823206104,3
0.402928271,-3
0.640654495,5
0.55279579,1
0.673962197,-3
0.665194105,1
0.59039658,1
0.390510773,5
0.532899068,1
0.527152874,1
0.374065808,-3
0.617509121,1
0.655227228,1
0.599773238,1
0.570974215,1
0.545884653,1
-0.33381402,7
0.406104604,1
0.464874679,1
0.483182789,1
0.543413256,1
0.510107047,1
0.742153474,5
0.573117169,1
0.519641038,1
0.560554692,1
0.393030294,1
0.625579967,1
0.608182962,1
0.431384696,1
0.61845896,1
0.461909896,1
0.922308874,-7
0.446754712,1
0.889249589,5
0.434179312,-3
0.347499922,1
0.344005777,1
-0.590746555,5
0.080361853,-1
-0.595477801,5
-0.602033633,3
-0.578590269,3
-0.575138897,3
-0.571164107,5
-0.564466276,5
-0.66425668,7
-0.4723808,5
-0.458872682,5
-0.211925612,3
-0.5860594,5
-0.594697332,3
-0.368102758,5
-0.654103734,3
0.857415963,-7
-0.410914216,5
-0.567960567,5
-0.329379186,5
-0.193560511,3
-0.579300877,5
0.315687575,3
-0.457332173,5
-0.445809465,5
-0.623945068,3
0.710283732,-3
-0.091970101,1
-0.489855001,5
-0.253916639,3
-0.250134557,3
-0.776023766,5
-0.637242302,3
0.472129979,-3
0.629832375,1
0.124344324,-3
0.72390634,-3
-0.487774819,5
0.391744173,-1
0.745344771,-3
0.662870381,5
0.682496869,5
0.545383612,5
0.924870763,-5
0.758209688,5
0.68169545,5
0.674877178,-3
0.509965825,5
0.780254775,5
0.727020206,5
0.7485486,5
0.950759742,9
0.598249521,5
0.632381353,5
0.608794735,5
0.607088241,5
0.94359332,9
0.880178968,7
0.706976884,5
0.762113944,5
0.643001053,5
0.378698329,3
0.3840275,3
0.825060907,7
0.733313524,7
0.890786436,-7
-0.752701153,5
-0.759837477,7
0.259892829,-3
-0.385250827,3
-0.585178117,3
-0.32357126,1
-0.255685969,3
-0.743605741,5
0.419091847,3
0.300013101,1
-0.781712487,5
-0.319715099,3
0.416518616,3
-0.580586921,5
-0.764113285,5
0.449008418,3
-0.734037509,7
-0.545323159,5
-0.344291794,3
-0.374000464,3
0.839702976,3
-0.328055423,3
-0.775328912,7
0.439090298,3
0.51979917,-3
-0.241508872,3
0.815629688,5
0.842576085,5
0.950406607,7
-0.573997076,5
0.734759677,3
0.650168984,3
0.712315234,3
0.691809449,3
0.785374573,5
0.858746515,7
0.120685166,1
0.819711691,5
0.659946588,5
0.651871969,5
0.840957215,5
0.614860742,3
0.68407659,3
-0.207387756,1
0.657174497,3
0.581932349,5
-0.199948131,1
0.786665447,3
0.620658657,1
0.797638566,-5
0.790538238,1
0.578531809,-1
-0.191047396,3
-0.352255906,1
0.883314173,-5
-0.173076021,3
0.665305197,3
0.121836041,3
0.676256931,1
0.888460391,9
-0.250013076,-1
0.544826312,1
0.352773673,-1
0.104398732,3
-0.313719096,1
0.332323267,1
0.949443683,-11
0.14300751,-1
0.422274741,1
0.355791814,1
0.589882727,-1
0.793809134,3
0.866982785,5
0.859291453,5
0.84402687,5
0.824647874,5
0.849161879,5
0.898481908,11
0.741576799,3
0.285531466,-1
0.781006211,3
0.781237809,5
0.840807899,3
0.698185043,5
0.789602577,3
0.596317102,5
0.94343211,-7
0.887968663,5
0.695093751,-3
0.78322049,5
0.610421747,3
0.777452474,5
0.537332835,5
0.827544306,5
0.76482917,5
0.949556263,9
0.772233644,3
0.630203626,9
-0.137070145,-9
0.717044748,3
0.547208679,7
0.729789143,7
0.867309631,7
0.808234104,7
0.769539739,7
0.80751789,7
0.702946043,1
0.665101957,-1
0.231838349,-1
0.885921433,5
0.754892355,7
0.726120827,7
0.81868805,7
0.846177196,7
0.732974483,7
0.899950943,7
0.90189298,7
0.760753429,7
0.832334199,9
0.882611048,7
0.762574057,9
0.884806992,7
0.841596903,7
0.892955723,7
0.936388161,7
0.73302312,7
0.749343333,5
0.907254725,7
0.829705415,7
0.871207378,9
0.853405059,9
-0.631275266,3
0.901946727,-5
0.696964457,3
0.478118812,3
0.291105204,1
0.80537586,3
0.433333682,-5
0.11062193,-1
0.804978664,3
0.767524598,3
0.748769797,9
0.476918397,-3
0.290816662,-3
0.268681866,-1
0.305452008,-3
0.565393726,1
0.113853487,-1
0.87875411,-3
0.279730807,-1
0.414352465,-3
-0.281529455,5
0.455717987,-1
0.271504499,-1
0.109324831,-1
0.011691243,-3
0.660040852,-5
0.31671235,-1
0.186362007,-1
0.453503494,-3
0.483752994,-3
-0.71945443,3
0.164751623,-1
0.203760243,-1
0.149513062,-13
-0.222862977,1
0.510502906,-1
0.41479083,-3
0.778905627,11
0.501173744,-3
0.315704053,-1
-0.416431596,1
-0.35063974,-3
0.960996961,13
-0.447824917,1
-0.683025432,3
0.405533954,3
0.36662206,1
0.193523248,3
-0.401192591,1
0.689720262,5
0.903433947,9
-0.675840633,3
0.684076112,-7
-0.182909283,1
-0.432506522,7
0.384229972,1
0.165962129,1
0.077289584,3
0.408701211,3
0.32214908,1
-0.445352343,1
-0.45675226,1
-0.65314385,3
0.419947115,3
0.713661169,-1
0.850717408,-5
0.541946721,3
0.762384175,5
0.715264266,5
0.569858976,3
0.744840574,5
0.717812671,3
0.747311737,3
0.616096691,3
0.823613251,5
0.632222305,3
0.810868669,5
0.474396233,3
0.753474543,5
0.578747572,3
0.761739581,3
0.762019189,5
0.739416734,3
0.854064415,1
0.839383831,3
0.866667407,1
0.134067322,3
0.862390922,1
0.148749599,3
0.85645698,1
0.848491452,1
0.754386175,3
0.863515951,3
0.605618857,3
0.84224313,1
0.908164606,1
0.231036286,3
0.88343865,3
0.874161587,1
0.773404436,3
0.113290443,3
0.856904689,1
0.688802469,1
0.164435078,3
0.147124203,3
0.890175498,1
0.921469208,3
0.845857115,1
0.515390867,3
0.652196531,3
0.209038991,3
0.160807457,-1
0.131144434,-1
-0.003097078,1
0.176282018,1
0.520278896,1
0.202791189,1
0.070883806,1
0.254327304,1
-0.039235158,1
0.269410766,-1
0.16652884,1
0.221039881,1
0.085807413,1
0.090310947,1
0.390106264,-1
0.487509458,-1
0.481815575,1
0.25183638,-1
-0.132215065,1
0.207940891,1
0.006647399,1
0.412632761,1
0.22855603,1
0.377737081,1
0.263644383,-1
0.414435634,1
0.256226042,-1
0.084343265,1
-0.128754985,1
0.306243452,1
0.144250267,1
0.154248057,1
0.805078492,-7
0.8047788,-7
0.726443322,-7
0.75604046,-7
0.720815093,-7
0.726433702,-7
0.747667321,-7
0.817094165,-9
0.833977507,-9
0.726538112,-7
0.754278613,-9
0.765432101,-9
0.747010241,-7
0.748252703,-9
0.781588986,-7
0.8178355,-9
0.778722144,-7
0.772780122,-7
0.826509256,-7
0.744376032,-7
0.724421015,-7
0.727519665,-7
0.756248753,-9
0.725466774,-9
0.763446517,-9
0.743730241,-9
0.792937918,-7
0.74310253,-9
0.755902373,-9
0.787542481,-7
0.789887733,-7
0.757107048,5
0.803525383,5
0.738467988,5
0.775016051,5
0.794753369,5
0.800070714,3
0.829851689,5
0.678043584,3
0.736660463,5
0.465441184,3
0.757449945,5
0.77889713,5
0.817691978,5
0.601857889,3
0.475651805,3
0.757890865,5
0.694656772,3
0.66872253,3
0.793652974,3
0.812290578,3
0.777502224,5
0.242129236,5
0.669599722,3
0.787421677,3
0.777786174,5
0.774064455,3
0.722789893,3
0.735437327,3
0.687985667,3
0.614421485,3
0.6016594,3
0.662276114,3
0.748370495,3
-0.439768225,5
0.789236065,3
0.858567815,3
-0.249420989,3
0.780542801,5
-0.290044351,3
0.778703771,5
0.699020864,3
0.559143303,3
0.892267123,3
0.66343379,3
0.554728128,3
0.627315355,1
-0.316444661,3
0.555976336,1
-0.284396059,1
0.738509819,3
-0.137763042,1
0.757420357,1
-0.821055647,7
-0.873700735,7
-0.696030248,5
-0.741118443,5
-0.627300638,5
-0.558371856,5
0.620565729,5
-0.740523289,5
-0.758509223,3
-0.799688376,5
-0.572998279,5
-0.360254033,7
-0.437007157,7
-0.243471586,5
-0.380726071,5
0.424715938,5
0.764606695,5
-0.761199976,5
-0.725934299,5
-0.674340279,5
0.851388009,5
0.771286976,5
-0.644650926,5
-0.73884498,5
-0.651857663,5
-0.756210507,3
-0.430783972,7
-0.325603784,5
-0.436341115,7
-0.410316978,7
-0.544744016,7
-0.546408301,7
-0.382248941,5
-0.410335954,5
0.906925597,7
-0.357043052,5
0.889619914,7
-0.335608105,5
-0.352195396,5
-0.377963962,5
-0.415166823,5
-0.408921896,5
-0.397906257,5
-0.419512178,5
-0.435502111,5
-0.43875222,5
-0.166985718,5
0.680579499,5
-0.179058628,5
-0.252324379,3
-0.319452427,3
-0.217755186,5
-0.404639305,5
-0.266024799,3
-0.275149395,3
-0.280100876,3
-0.285012495,3
-0.35213933,5
-0.368746849,5
-0.311778142,5
0.89151748,5
0.837171082,5
-0.560980166,5
-0.608834064,5
0.820052453,5
-0.711972383,5
0.898482408,5
0.576337047,5
0.836695992,5
0.818240243,5
-0.260401497,3
0.787409405,3
-0.501527767,3
-0.522832302,5
-0.526406789,5
-0.538588281,5
0.801339423,3
-0.509375907,5
0.84680362,5
-0.491885436,5
0.832379179,3
-0.505306459,3
-0.576227545,5
0.671135159,3
0.861331895,5
-0.66999287,5
0.521827212,5
0.345939836,3
-0.535921328,5
-0.495922317,5
0.669318033,3
0.756725615,3
0.783220121,5
-0.472737795,5
-0.501149507,5
0.688021558,5
0.784911654,5
0.802366623,5
0.754568735,3
0.690384728,3
0.730308896,5
0.785449625,5
0.783606249,5
0.63868836,3
0.608389646,3
0.748052233,3
0.659462697,3
0.644596296,3
0.767155577,3
0.745781621,5
0.720240698,3
0.670480884,5
0.755264392,3
0.709314607,3
0.689849874,5
0.57409101,3
0.627921059,3
0.516458382,3
0.720303305,3
0.505987078,3
0.559644549,3
0.614560305,3
0.560605209,3
0.722306531,3
0.464007384,3
0.617392048,3
0.475848871,3
0.659363808,3
0.571844467,3
0.60692797,3
0.508164521,3
0.807319409,3
0.699618132,3
0.603575482,3
0.752809132,3
0.569313989,3
-0.491253917,3
-0.459872056,3
0.61251294,3
0.696815872,3
0.726576098,3
0.5494494,3
0.736064816,3
0.791263466,3
0.725370704,3
-0.457635647,3
0.502982808,3
0.852554966,3
0.734686878,3
0.566086111,3
0.756978527,3
0.813976449,3
0.702590212,3
0.808918561,3
0.711261889,3
0.522918848,3
-0.488613541,3
0.780177209,3
0.789848939,3
0.761111267,3
0.713401767,3
0.700317933,3
0.74883154,3
0.62733357,3
0.623111992,-1
0.41234249,-1
0.147400777,1
0.132591165,1
0.183147733,1
-0.187071049,-3
0.438888183,3
0.500532289,5
0.477323358,5
0.467703501,5
0.1607519,-3
0.879152224,7
0.640857714,-3
0.79475542,5
0.137989518,3
0.822414704,9
0.87239673,7
0.787688484,3
0.157341834,1
0.89295082,-5
-0.614931148,5
-0.597123519,3
0.880834053,7
0.440109411,7
-0.666929627,5
0.44784468,1
0.161338054,-3
0.842162953,5
-0.337294011,-1
-0.161884041,-1
-0.12646347,1
0.192810006,1
0.315082144,1
0.185236568,1
-0.078644949,1
-0.290147423,3
0.668647347,-3
0.291783942,-5
0.414116832,5
0.666295331,-5
0.543902401,5
0.727448163,9
0.878836053,-5
0.425277279,-5
0.847115668,3
0.395557381,-5
0.417366863,-5
0.742022004,3
0.559568585,3
-0.484361774,1
0.204354825,-5
0.294297558,1
-0.532682172,-13
-0.26582158,-1
0.471044005,-3
0.357860254,7
0.905436529,-5
-0.144629933,-1
0.303770096,-3
0.823432801,-7
0.115775814,3
-0.428944685,-5
0.368940651,13
0.369348431,11
-0.498741466,-7
0.781350771,3
0.906467712,7
-0.651531124,-5
0.616029861,5
0.161478062,-1
0.565022351,-1
0.835758599,7
0.203911386,3
0.259111169,3
0.352369641,1
0.415382385,-1
0.617950305,-1
0.291333844,3
0.265578294,-1
0.518809019,1
0.831621926,-5
0.64602164,-1
0.27686528,3
-0.103928033,-1
0.051423389,1
0.864627476,-5
-0.202195842,-1
0.822974387,3
0.122999072,5
0.30300812,3
0.402233926,1
0.19095927,1
-0.14365935,-1
0.465976159,3
0.809732698,-1
-0.11522845,-1
0.894080922,-5
0.630436911,-1
0.657530829,1
0.201966199,3
0.325910649,1
0.115625717,-3
0.522254021,3
0.647025068,1
0.697188902,1
0.533032329,-1
0.291688087,3
0.435738189,-3
0.618097906,1
0.716093095,3
0.356556029,-3
-0.092812883,1
0.91443944,-7
0.271267471,1
0.424276131,-1
0.339735067,1
0.237532526,1
-0.05007503,1
0.495349916,1
0.212648847,-1
0.724820673,3
0.76233366,-3
0.33168336,1
0.820603128,5
0.862953917,-5
0.762913838,-1
0.408517808,-1
0.282187574,-5
-0.702783957,-7
0.44107209,-1
0.708390054,3
0.762402736,5
0.378968324,1
0.16882321,5
-0.147999123,3
0.667825257,-5
0.242575164,3
0.25922502,1
-0.299610766,-11
0.578200332,1
0.634874729,1
0.572222589,1
0.493423368,-1
0.355125309,-1
0.267559478,-1
0.414884246,3
0.633281559,5
0.184415706,-1
0.69993721,1
0.502389515,-3
0.811516929,1
0.494731437,3
0.676679526,3
0.778047194,3
0.637547304,1
0.167390307,-1
0.454020601,3
0.619206956,-5
0.153486046,-3
0.004136144,-5
0.777400342,1
0.802960798,-5
-0.322939806,-1
0.819684432,-1
0.679350145,1
0.187754789,1
-0.161011955,-1
0.428207429,-3
0.240119512,-5
0.142602377,-5
0.381601746,-3
0.314149366,-1
0.805874012,1
0.658838136,1
0.517793916,-1
0.549158528,3
0.300443502,1
0.353758472,5
0.160455874,5
0.697869042,5
0.703330444,5
0.671008694,3
0.676412419,3
0.153050298,3
0.532755635,5
0.679689421,-3
-0.206164485,-3
0.187593027,5
-0.180067124,3
0.134098801,5
0.172697381,3
0.34694422,-1
0.35041229,-1
0.57826345,3
0.324695054,-1
0.142681842,-3
-0.251786981,-3
-0.176373524,-5
0.843784453,3
0.23179945,3
0.463848762,1
0.35353706,1
0.174052786,7
0.212939194,1
0.345182561,1
0.426815777,1
0.764322508,-5
-0.307824365,-7
0.408075971,-1
0.740721015,3
-0.066151362,-7
-0.328640589,-3
0.56056616,-5
0.86779271,-5
0.387575691,3
0.248172851,3
-0.434256124,-1
0.182288521,5
0.151714068,-1
0.472481493,11
0.150622715,9
-0.116138324,9
0.266045137,11
-0.294496504,7
0.590095294,-5
0.472194924,11
0.146671375,9
0.911073517,5
0.271883904,5
0.822026902,-5
0.847053451,7
0.864616539,5
0.850306338,7
0.685446264,3
0.698457951,5
0.661449498,7
0.649553129,3
0.411779264,3
0.412484814,1
0.474697373,9
0.130444524,1
0.532832618,3
0.68094769,3
-0.14357342,3
0.418866992,3
-0.237271078,3
0.250851638,1
-0.062142644,1
-0.21658194,7
0.832967492,-3
0.276317854,3
-0.229411024,5
0.853723489,3
0.822332259,3
-0.102785733,7
0.288294264,1
0.842429853,5
-0.143473715,-3
0.686403166,-1
0.877908205,7
0.702391527,7
0.935062206,7
0.406794774,1
0.428393565,1
0.222139022,1
0.854194192,5
-0.506627729,3
0.333773761,1
0.511188563,-3
0.877742523,3
0.916722459,5
0.900648651,5
0.839483902,3
0.911220319,5
0.865081215,1
0.902452818,3
0.872037443,5
0.851626356,5
0.904841197,3
0.291714894,5
0.333370832,5
0.862295673,7
0.869700901,7
0.486779396,3
0.573046637,3
0.407494338,-1
0.516002951,-1
0.11062673,-1
0.263463224,1
0.749748151,5
0.519523021,3
0.150942627,3
0.405621499,3
0.493986236,-3
-0.026241597,-1
0.145221875,-1
-0.022342822,-3
-0.025250906,1
0.537659357,1
0.210374376,9
0.63736853,1
0.603627729,3
0.615245378,3
0.543698144,3
0.453823942,9
0.350086246,-1
0.092627512,-1
0.171135966,7
0.32710123,9
0.844838624,9
0.267691349,3
0.590453058,-3
0.619827213,3
0.135818229,1
0.383242725,7
0.138835703,7
0.085604637,3
0.182095297,5
-0.507139106,3
0.71699345,7
0.296889728,5
0.949018196,13
0.482153254,1
0.634248379,3
0.758705611,7
0.835759884,-5
0.876888472,5
0.252906765,3
-0.612170651,-9
0.916345608,3
0.074371296,-1
0.862879991,5
0.861924085,5
0.915499562,5
0.9064331,9
0.91915951,9
0.480196004,-1
-0.194107543,9
0.405772127,3
0.885218526,7
-0.241866689,-3
0.771516465,7
0.736494721,3
0.877898365,3
0.171098022,-9
0.379520448,-5
0.763053468,3
0.459568708,-3
0.844314841,-3
0.885627183,3
0.935823972,-7
-0.154757872,3
0.756964087,5
0.577285212,5
0.653686599,9
0.211092538,1
0.160257897,-3
0.384666403,3
-0.164694413,3
0.55644031,5
0.417976055,5
0.815273229,-5
0.547665262,3
0.776135905,-5
0.506697405,1
0.982152696,-11
0.191846439,1
0.633085698,1
0.960472987,-9
0.778164001,-3
0.926758464,-7
0.865092898,-7
0.88744374,-7
0.474136477,1
0.485502276,1
-0.568836945,-1
0.195534536,1
0.68071094,1
0.340928272,1
0.473867056,-1
0.251426513,1
0.898873144,5
0.734388909,5
0.551662443,-1
0.389089508,-1
0.480436775,1
0.233020224,-3
0.264974844,5
0.168839943,3
0.658826532,3
0.421407794,3
0.916799496,-7
0.543025247,1
-0.277360069,-3
0.556961981,3
0.320220725,5
0.834315696,-5
0.62293147,1
-0.144548454,-3
0.596860758,-1
0.105647966,5
0.75934721,3
0.228556396,-1
0.937889936,13
0.60565227,-5
0.757594335,-5
0.716955466,-3
0.6025448,1
0.4448759,1
-0.157926443,1
0.409483837,1
0.686904266,1
-0.286826747,-1
0.27226267,-3
0.115139054,-1
0.05144138,-3
0.083803297,-5
-0.235502644,-3
-0.121082586,1
-0.259505926,-3
-0.201610903,-5
-0.331632814,-5
0.213431919,3
0.248256216,3
0.73686284,3
0.540322388,3
0.676292157,3
0.139726703,3
0.388609668,3
-0.070042516,1
0.531031175,5
0.786608736,5
0.783026086,5
0.806144211,3
-0.561749412,1
0.4856696,3
0.328567859,3
0.606439469,3
0.514288252,-1
0.592148097,3
0.505207433,3
-0.124438321,1
0.227663878,9
